company,page_title,no_views
Apple,Apple_Worldwide_Developers_Conference,1
Apple,Apple_Zapple_(Kings_Dominion),1
Apple,Apple_bobbing,6
Apple,Apple_bread,1
Apple,Apple_butter,1
Apple,Apple_cake,1
Apple,Apple_car_project,1
Apple,Apple_cider,7
Apple,Apple_cider_vinegar,3
Apple,Apple_corer,1
Apple,Apple_crisp,5
Apple,Apple_crumble,2
Apple,Apple_displays,1
Apple,Apple_fanboy,1
Apple,Apple_fritter,1
Apple,Apple_headphones,2
Apple,Apple_iPhone_3GS,1
Apple,Apple_ii_peripheral_cards,1
Apple,Apple_interactive_television_box,1
Apple,Apple_juice,1
Apple,Apple_logo,2
Apple,Apple_motion_coprocessors,5
Apple,Apple_of_Universal_Gravity,1
Apple,Apple_of_my_eye,2
Apple,Apple_operating_systems,1
Apple,Apple_pan_dowdy,1
Apple,Apple_pie,8
Apple,Apple_sauce,2
Apple,Apple_seed_oil,1
Apple,Apple_silicon,46
Apple,Apple_silicon_m1_pro,1
Apple,Apple_snail,1
Apple,Apple_speakers,2
Apple,Apple_store,1
Apple,Apple_strudel,3
Apple,Apple_supply_chain,1
Facebook,Facebook,201
Facebook,Facebook_(identifier),2
Facebook,Facebook_Aquila,3
Facebook,Facebook_Beacon,1
Facebook,Facebook_Bluetooth_Beacon,2
Facebook,Facebook_Credits,1
Facebook,Facebook_Dating,2
Facebook,Facebook_F8,1
Facebook,Facebook_Files,1
Facebook,Facebook_Gaming,2
Facebook,Facebook_Graph_Search,4
Facebook,Facebook_Home,1
Facebook,Facebook_IPO,1
Facebook,Facebook_Instant_Articles,2
Facebook,Facebook_Live,1
Facebook,Facebook_Messenger,2
Facebook,Facebook_Paper,1
Facebook,Facebook_Pixel,1
Facebook,Facebook_Platform,2
Facebook,Facebook_Query_Language,1
Facebook,Facebook_Reels,3
Facebook,Facebook_Safety_Check,2
Facebook,Facebook_Slingshot,1
Facebook,Facebook_Stories,1
Facebook,Facebook_Watch,1
Facebook,Facebook_Zero,2
Facebook,Facebook_groups,1
Facebook,Facebook_history,1
Facebook,Facebook_like_button,1
Facebook,Facebook_malware,1
Facebook,Facebook_marketplace,1
Facebook,Facebook_onion_address,4
Facebook,Facebook_pixel,1
Facebook,Facebook_real-name_policy_controversy,1
Google,Google,359
Google,Google's_Ideological_Echo_Chamber,3
Google,Google.be,1
Google,Google.com,7
Google,Google.com.mt,1
Google,Google.com.tw,1
Google,Google.ie,1
Google,Google_(disambiguation),1
Google,Google_(verb),1
Google,Google_AI,7
Google,Google_AI_Challenge,1
Google,Google_ATAP,1
Google,Google_Account,8
Google,Google_AdSense,2
Google,Google_Ad_Manager,1
Google,Google_Ads,3
Google,Google_Algorithm_updates_in_2017,1
Google,Google_Analytics,10
Google,Google_Analytics_360,1
Google,Google_App_Engine,1
Google,Google_Apps,1
Google,Google_Apps_Script,2
Google,Google_Arts_&_Culture,3
Google,Google_Assistant,17
Google,Google_Authenticator,8
Google,Google_Base,5
Google,Google_Books,7
Google,Google_Brain,6
Google,Google_Buzz,1
Google,Google_Calendar,6
Google,Google_Cast,1
Google,Google_Catalogs,1
